leukocyte migration	75.04	P	186	0.20852	2.52
response to external stimulus	65.60	P	210	0.235426	2.41
immune response	64.62	P	186	0.20852	2.51
immune system process	62.14	P	248	0.278027	2.32
response to organic substance	52.59	P	247	0.276906	2.16
negative regulation of developmental process	4.42	P	41	0.0523627	-2.28
regulation of cell differentiation	6.11	P	83	0.106003	-2.17
cell proliferation	5.80	P	103	0.131545	-2.21
regulation of developmental process	5.36	P	107	0.136654	-2.30
neural precursor cell proliferation	5.29	P	13	0.0166028	-2.28
