defense response	71.0437	P	186	0.20852	2.524810647917315
immune system process	65.414	P	248	0.278027	2.3277763018614333
immune response	64.6232	P	186	0.20852	2.519873045077976
response to external stimulus	56.6091	P	210	0.235426	2.416689680230685
response to organic substance	51.5985	P	247	0.276906	2.1673254588535165
regulation of cell differentiation	6.1193	P	83	0.106003	-2.171376617354984
cell proliferation	5.80914	P	103	0.131545	-2.218731079456651
regulation of developmental process	5.36019	P	107	0.136654	-2.3008876543327164
neural precursor cell proliferation	5.29832	P	13	0.0166028	-2.287330229906211
negative regulation of developmental process	4.42285	P	41	0.0523627	-2.2817255999353763
